mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,label
-399.2093201,-69.55738831,48.32983017,33.55433655,-6.018652916,51.22203064,-37.64880371,46.85124969,-15.12572479,47.42418671,-37.83710098,43.41407394,-1.85000658,-5.672086239,21.83139801,-24.56585312,26.33353424,-28.85942459,19.32951164,-10.91389179,3.451541424,4.375047684,-0.505224943,14.19290924,-4.424586296,18.52497864,-3.849612713,11.19083118,11.67299271,0.65908742,13.73300934,9.811534882,16.59236336,5.529101372,8.509972572,6.670752525,3.355014324,1.713847995,-0.45948112,8.679016113,-1.704304695,-1.158834219,3.373110771,7.019841671,5.024589062,4.774047852,3.15619874,1.345187068,-0.317340016,-2.890375614,0.781415462,1.170486331,1
-406.1074524,-63.79074097,45.47661591,26.99046326,-0.075090617,45.61615372,-40.00232697,43.52920151,-14.05138206,49.65764618,-39.51430511,42.59223938,4.473376274,-3.276565552,24.96230888,-19.1529007,29.00748634,-22.17643356,19.69261932,-10.5403738,4.827269554,5.072976112,-3.875237942,10.76848125,-3.48490262,20.8104248,-5.607392788,8.098405838,10.8489275,-1.109787464,8.728966713,5.080327034,18.01858711,3.562484503,5.702971935,6.183151245,7.057008266,0.493148744,-3.841392994,6.653103352,-0.752634048,6.609010696,-1.569547892,5.686923027,7.767716408,6.84087944,2.592323542,-1.200937867,-2.511851311,-1.099967003,-0.772390604,0.218683481,1
-415.15625,-43.76100922,38.02909088,23.02959824,16.34520912,35.22307205,-29.5143013,43.16656494,-17.69261932,44.91358185,-38.97678375,39.88101959,4.040923119,3.960908413,23.77535248,-21.40623856,26.63799667,-18.48003769,18.10653305,-18.6441021,5.844861031,8.371078491,-7.525288582,8.615281105,-4.227981567,18.53522873,-6.684463024,6.542816162,11.23395634,3.10588479,8.724531174,2.942873716,15.94640732,2.626228571,7.780332565,3.092893124,3.130179644,2.823107719,-2.264699697,3.055094957,-0.87724793,11.57570457,-4.207729816,4.466603279,2.741555691,10.1005249,2.13286829,-2.840026379,-1.917787552,-3.332898378,0.451815546,-0.194162488,1
-369.0450439,-75.24954224,-7.81659317,63.54756165,7.984341621,20.43457413,-16.96689606,33.25534058,1.937565207,11.5455246,-4.406970978,45.69393158,-17.51266861,19.10320473,23.27329254,-10.25599003,25.16062355,-26.97195435,26.322258,-16.58550644,-0.895431757,19.02452278,-14.89228439,15.98000145,-9.975324631,14.40864849,-1.820255756,0.652736366,5.643310547,5.939691544,7.452187538,-0.274217367,1.45850718,8.358036041,11.60733795,-1.746481776,-0.037795871,2.920088768,9.10717392,-10.6292572,4.302165985,8.158305168,-2.829829693,7.801026344,-3.090192318,9.498232841,-0.823479414,-3.934374809,4.963597298,-6.373587608,-0.827602267,4.449379921,1
-326.6863708,-112.851944,-46.64977264,112.8370514,-4.706397057,-3.891690731,8.845164299,26.03719902,-5.536946297,7.80459404,26.82260323,16.54250717,-5.200875759,27.61070061,9.99511528,7.957460403,13.18775368,-18.25498962,25.25941086,-5.029401779,-8.204717636,21.81062508,-6.747962952,9.922323227,-2.548683167,7.801904202,5.345383644,-1.819380283,-1.766081095,8.078020096,2.266679525,-2.768336296,-2.481415033,12.34606171,1.030441165,4.472987652,-3.076820374,6.064664841,3.734873772,-5.660921097,7.356512547,-0.221967876,5.160158157,0.791095376,3.926372051,1.341376066,-0.540496945,1.100892901,1.705754519,2.047341585,-4.897413254,9.710084915,1
-308.7989197,-133.6234436,-59.51830292,143.8390808,-33.05123138,-19.97082901,38.81048584,11.37928391,-13.83000183,25.27789497,8.096499443,13.83335304,13.0439043,17.33664322,9.188640594,7.987360001,1.424078703,-1.604713678,30.11756134,-12.98913383,0.374830723,10.23873711,-1.023700476,16.06016159,0.958337784,6.85081768,4.961888313,0.320889235,-2.692004204,11.08438683,-2.913443565,3.94791317,2.527163029,8.54343605,0.233695269,2.01978755,1.280281425,5.590272903,-0.830830932,-0.176683426,4.546983242,3.358891249,3.871596336,4.147600174,3.534599543,0.899906635,-0.634903312,2.618765593,0.246542558,-2.26688385,-2.823813915,5.181535244,1
-324.2822571,-119.5797043,-48.20326996,135.2819061,-39.42263031,-19.09403992,57.3197403,-13.65668964,-26.12538147,55.27011871,-12.69283676,18.09517097,17.19375038,10.62848568,15.71161175,6.211726665,5.2672472,0.389908373,17.6957016,-13.1678791,15.47909737,-1.764014244,5.273370743,12.25074196,14.21727371,2.954814196,-0.09351027,6.079463959,1.695470572,10.98350048,-4.195598602,3.425648689,6.129060268,12.33791161,-0.086931348,6.911692619,3.03006959,6.165687084,3.694936037,2.014009476,0.564287186,6.115650177,4.445106983,6.591957092,3.505123138,2.859081507,0.530385137,5.464289665,-0.307580948,0.206352234,1.618018031,2.69964695,1
-372.421875,-77.64031982,-34.29202271,111.256424,-40.45209503,6.802432537,54.76846695,-39.92327118,-6.683215618,63.08126068,-37.81291962,29.44343376,20.60643387,0.702563107,8.311000824,17.89898109,-0.745530248,-5.024523735,20.78841019,-14.34409523,20.12682724,-1.912871361,3.986683607,12.68267822,13.57481575,3.967108488,6.403479576,4.534118652,1.367327213,14.61080933,2.760249138,0.793629646,7.107614994,11.99180508,1.545371056,8.886959076,3.874591589,6.137197495,9.922021866,0.755373478,2.540128469,8.972123146,3.977478027,6.694970131,10.80321693,-0.099037468,-3.411146641,4.418501854,1.675446987,0.268157959,0.666831315,0.914068818,1
-434.7710571,-22.47746468,-31.72082329,77.07681274,-20.87752342,2.717547894,52.83125305,-36.45530701,3.613500357,52.40418243,-34.93622971,25.64032364,37.15390015,-17.14952087,19.98895264,26.70596313,-13.22119999,4.052227974,21.01702881,-19.5193367,20.10163879,10.40432167,-7.189416885,13.46964264,2.037056208,4.371046066,11.64154053,2.757665396,-8.001091003,18.92819214,2.562354803,0.081984401,11.04044914,3.143935919,2.644896507,5.193050385,8.130966187,-2.781148911,11.90499878,-2.285182953,2.899450541,14.62031937,2.412388325,10.59869576,7.258341312,-0.764075637,0.195928156,5.937894821,-6.715410233,3.459456921,4.95286274,-4.205519676,1
-402.3156433,-52.30904388,-13.99973488,90.60153961,-52.21941376,48.01250458,34.19800568,-45.82188416,54.79994965,-0.670531392,0.424303621,38.38365936,5.858090401,18.41930389,4.911211014,27.98160553,0.490578771,-3.700926781,27.13670731,-17.76783371,6.074844837,23.62954712,-13.75506592,12.56225777,-4.219298363,2.742702007,10.94907379,3.566910744,-7.693560123,16.00955582,4.898070335,-3.838187695,10.99661064,0.924240112,-2.446056843,9.130670547,-0.292124212,-7.2676754,8.989061356,-2.126055956,3.713513851,8.794236183,1.460002422,15.81324959,4.743441105,-3.681493282,-0.184886277,9.192371368,-11.19462872,5.66216898,7.144688606,-4.733902931,1
-361.585144,-111.9804916,32.5661087,67.38546753,-56.54850388,79.60694122,-12.61117363,-2.348498583,36.16889954,-0.678184271,7.564566135,33.35700989,0.831497133,13.50349998,30.65467834,-10.08091354,30.31720734,-4.32999754,20.22068787,0.20857358,-16.64881897,34.41607666,-20.35684967,22.43903351,-13.86316681,13.82329369,0.647476196,4.19426012,10.63257027,2.750305176,5.97521162,0.995337486,5.810529709,-1.742354035,2.160714626,6.2191782,1.137443066,-3.594234467,2.679382563,9.847699165,-0.690816641,8.040801048,0.543225646,17.27685738,-2.373174191,2.903684139,-3.760952711,1.480201721,-4.056348801,3.803035259,6.297245502,-3.718675137,1
